#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_126	0	0	0	0	0	0	0	0	0	1276	0	0
OTU_127	0	0	0	0	0	0	0	0	0	143	0	0
OTU_128	0	0	0	2	0	0	0	0	1	1662	1	1
OTU_129	0	0	0	213	0	0	0	0	0	0	0	0
OTU_130	0	0	0	0	0	0	1	160	0	0	1824	0
OTU_131	0	1	0	2	0	0	0	0	1	1005	0	0
OTU_132	0	0	0	1	5	0	6056	0	2	1	6	1
OTU_133	1	118	57	277	0	0	0	0	2	217	1	7
OTU_134	0	0	0	0	0	0	0	0	0	255	0	0
OTU_135	112	1600	0	379	0	0	0	1	2585	0	1246	2628
OTU_136	0	3	0	0	1	0	6964	0	0	0	3	0
OTU_137	0	0	0	0	0	0	0	0	0	150	0	0
OTU_138	0	1	0	0	0	0	0	0	0	8384	0	0
OTU_139	0	0	0	299	0	0	0	0	0	1	0	1
OTU_140	5660	11468	1	1	5	0	1	0	10373	196	4	2
OTU_141	1	1	5798	0	1926	1172	4	6309	1	4	2945	1
OTU_142	634	8977	1	47	0	0	53	0	1329	274	1	0
OTU_143	0	1	0	0	1	0	0	0	1	15113	0	0
OTU_144	16	298	0	0	0	0	0	0	84	18	0	0
OTU_145	0	0	368	0	1572	52	0	439	0	0	182	0
OTU_146	0	0	0	0	0	0	0	0	0	506	0	0
OTU_147	0	0	0	9	0	0	3574	0	14	0	2	0
OTU_148	0	1315	0	0	0	0	0	0	31	726	0	1
OTU_149	0	0	0	0	0	0	0	0	0	3730	0	0
OTU_150	0	2	0	0	0	0	0	0	0	5505	0	1
OTU_151	0	8	0	0	0	0	0	0	3	2488	0	0
OTU_152	0	0	0	0	0	0	18	0	0	0	0	0
OTU_153	1	1	29	0	5782	3	0	33	0	1	17	0
OTU_154	4	7	17356	1	7930	3953	11	19415	4	4	9335	5
OTU_155	0	1	2	0	0	0	0	0	2	18838	0	0
OTU_156	1973	28471	2	6840	3	1	8	5	45412	14	22489	48367
OTU_157	0	0	0	0	0	0	0	0	0	729	0	0
OTU_158	18646	72870	0	0	2	0	2	3	1304	3448	10	7
OTU_159	0	0	0	4	5	0	8079	0	4	0	8	0
OTU_160	0	0	0	0	0	0	0	0	0	645	0	0
OTU_161	78	2060	142	317	0	0	1	0	357	3715	0	0
OTU_162	0	0	20	0	112	1	0	18	0	0	9	0
OTU_163	0	0	919	0	255	853	0	2005	0	0	1669	0
OTU_164	0	0	0	882	0	0	0	0	0	5	0	2
OTU_165	0	317	0	0	0	0	1	0	11	476	1	0
OTU_166	0	5	0	4	0	0	1	0	3	9024	0	2
OTU_167	0	0	0	479	34	0	0	37	0	0	653	0
OTU_168	0	0	0	0	0	0	18	0	0	0	0	0
OTU_169	258	324	0	2	0	0	0	0	178	6	1	6
OTU_170	20	35	47	17	5	1	3	6	3	16	4	6
OTU_171	0	4	1	2	18	0	18117	1	8	4	19	1
OTU_172	3396	7031	0	0	1	1	1	0	5522	124	2	2
OTU_173	0	0	0	139	0	0	0	0	0	0	0	0
OTU_174	197	3065	1	758	0	1	0	0	4657	0	2286	4325
OTU_175	0	0	5221	0	2054	1049	0	5758	0	0	2505	0
OTU_176	0	0	0	0	0	0	0	0	0	1583	0	0
OTU_177	0	0	292	0	0	0	0	0	0	0	0	1
OTU_178	9	6	11	4	7	0	3	13	8	16	6	5
OTU_179	1	1	9942	1	4778	2146	9	11248	1	0	5139	0
OTU_180	417	5746	0	1378	0	0	1	0	9993	1	4565	10092
OTU_181	631	2620	0	0	1	0	0	0	787	21	0	0
OTU_182	0	0	301	0	26	35	2	312	0	0	98	0
OTU_183	0	273	0	1	0	0	0	0	212	0	0	0
OTU_184	0	525	0	0	0	0	0	0	0	0	0	0
OTU_185	0	127	111	589	0	2	1	0	2	438	0	23
OTU_186	0	0	0	0	0	0	0	0	0	473	0	0
OTU_187	71	1239	0	176	0	0	0	0	1784	0	1005	1760
OTU_188	0	1	0	0	0	0	0	0	0	3923	0	4
OTU_189	0	0	99	0	0	0	0	0	0	0	0	0
OTU_190	1	1	1858	0	20701	420	7	2102	0	4	996	1
OTU_191	0	0	4	0	873	0	0	2	0	0	3	0
OTU_192	5588	10472	0	2	4	0	1	0	6324	156	4	4
OTU_193	0	0	137	0	12	153	0	295	0	0	301	0
