#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	6	5	5	3	5	5	3	3	5	3	7	3	0
OTU_2	293	266	295	321	287	358	383	318	331	301	353	224	0
OTU_3	308	309	302	359	291	365	286	324	330	385	384	227	0
OTU_4	15	9	25	20	34	18	34	37	21	22	32	14	0
OTU_5	39	47	67	56	48	68	66	45	40	64	23	23	0
OTU_6	26	41	0	3	1	1	2	2	0	0	1	0	0
OTU_7	13	25	16	16	15	19	16	11	17	20	45	6	0
OTU_8	341	278	420	418	481	352	414	431	463	328	532	432	0
OTU_9	206	181	183	239	174	182	176	218	291	208	230	155	0
OTU_10	84	53	92	82	89	78	139	60	113	98	137	90	0
OTU_11	21	34	4	3	0	2	0	1	0	0	0	1	0
OTU_12	19	19	22	25	19	15	9	25	28	27	32	23	0
OTU_13	17	26	2	2	0	0	1	0	0	2	1	0	0
OTU_14	1	3	1	3	2	2	1	2	4	3	5	11	0
OTU_15	461	495	512	488	481	611	520	535	451	636	367	308	0
OTU_16	7	14	16	8	11	1	11	6	5	12	3	1	0
OTU_17	23	17	29	41	26	30	31	21	26	25	27	15	0
OTU_18	0	1	0	2	3	1	3	2	1	1	0	1	0
OTU_19	16	14	17	21	22	26	33	26	13	20	6	7	0
OTU_20	44	25	38	46	47	27	67	52	35	22	37	34	0
OTU_21	191	198	191	194	166	200	124	150	197	153	148	189	0
OTU_22	12	6	21	11	19	16	23	22	13	10	13	6	0
OTU_23	506	412	622	578	668	603	673	664	547	634	569	597	1
OTU_24	961	828	1129	1092	1066	939	1144	1205	1049	992	1063	1080	1
OTU_25	35	40	46	41	34	30	59	55	51	52	29	55	1
OTU_26	21	34	0	2	0	1	2	0	0	0	0	0	0
OTU_27	164	125	161	160	147	142	164	138	105	152	214	151	0
OTU_28	21	19	37	23	40	23	44	41	27	26	46	40	0
OTU_29	845	700	1093	932	1008	981	1119	1008	1123	830	830	1138	1
OTU_30	69	52	49	55	50	63	60	63	51	54	76	68	0
