#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_117	1116	1015	974	1321	977	1129	319	833	834	1306	546	529	0
OTU_118	27	67	2	2	0	3	1	1	0	1	0	1	0
OTU_119	89	61	172	150	153	74	80	122	153	122	35	44	0
OTU_120	44	45	1	9	0	2	0	3	0	0	0	0	0
OTU_121	8	9	1	1	0	0	0	0	1	0	0	0	0
OTU_122	20	14	9	11	13	8	5	12	15	14	10	6	0
OTU_123	0	0	0	0	4	12	8	4	0	0	0	0	0
OTU_124	88	153	4	14	1	7	3	6	2	3	1	3	0
OTU_125	223	176	304	314	256	280	142	245	257	244	118	91	0
OTU_126	37	34	57	55	40	45	15	20	55	37	42	20	0
OTU_127	110	200	7	16	2	9	1	7	6	0	0	1	0
OTU_128	30	73	2	4	1	4	0	0	0	0	0	0	0
OTU_129	28	44	1	5	0	3	1	2	0	0	0	0	0
OTU_130	0	0	0	0	0	0	0	9	183	84	163	52	0
OTU_131	10	30	0	3	2	2	0	0	1	2	0	0	0
OTU_132	28	33	20	31	32	22	10	20	24	26	18	31	0
OTU_133	361	330	324	290	0	0	0	0	0	0	0	0	0
OTU_134	35	84	3	8	2	1	2	2	1	0	0	0	0
OTU_135	27	48	3	3	0	1	1	1	1	1	0	1	0
OTU_136	94	125	5	11	2	4	1	4	0	2	2	2	0
OTU_137	87	140	2	14	2	4	0	2	2	4	0	0	0
OTU_138	27	26	4	1	0	0	2	0	0	0	0	0	0
