tax_id	taxonomy	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
8760	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;melaninogenica;	0	523	0	0	0	0	0	0	0	0	0	0
3033	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;curtisii;	0	151	0	0	0	0	0	0	18	705	0	0
15840	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;colorans;	0	237	0	43	0	0	0	0	0	0	0	0
201	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;	0	32	0	21	0	0	0	0	0	19	0	42
499	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;hominis;	0	37	24	0	0	0	0	0	0	28	0	0
4549	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;	0	561	0	0	0	0	0	0	0	3488	0	0
6474	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;extructa;	0	237	0	0	0	0	0	0	0	0	0	0
1360	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	0	22	0	0	0	0	0	0	0	0	0	0
2187	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;warneri;	0	23	0	0	0	0	0	0	0	16	0	0
1620	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;pasteuri;	0	10	55	0	0	0	0	0	0	0	0	0
223	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;	0	25	0	18	0	0	0	0	0	10721	0	188
106	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	0	83	0	0	0	0	22	0	0	58	0	0
7256	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;	0	11	0	0	0	0	0	0	0	0	0	0
851	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri;	0	28	0	193	102	14	249391	19	336	24	189	12
13199	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis;	0	27	0	0	0	0	0	0	0	68	0	0
3714	Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;	0	21	0	0	0	0	0	0	0	0	0	0
4360	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;	0	111	0	0	0	0	0	0	0	91	0	0
107	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis;	0	10	0	0	0	0	0	0	0	0	0	0
105	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;	0	10	0	0	0	0	0	0	0	83	0	0
5487	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;	0	55	0	0	0	0	0	0	0	199831	0	0
902	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum;	0	13	0	0	0	0	0	0	0	16393	0	0
