region,type,pct,data,consensus
all,total,0.4395,zymock_r9,miniCon
hp+,mismatch,0.0783,zymock_r9,umiCon
hp+,insertion,0.241,zymock_r9,umiCon
hp+,deletion,0.5266,zymock_r9,umiCon
hp+,total,0.8459,zymock_r9,umiCon
hp-,mismatch,0.0691,zymock_r9,umiCon
hp-,insertion,0.3455,zymock_r9,umiCon
hp-,deletion,0.0822,zymock_r9,umiCon
hp-,total,0.4968,zymock_r9,umiCon
all,mismatch,0.0707,zymock_r9,umiCon
all,insertion,0.3269,zymock_r9,umiCon
all,deletion,0.1612,zymock_r9,umiCon
all,total,0.5588,zymock_r9,umiCon
