taxonomy,BC02,BC06,BC10,BC11,BC14,BC15,BC16,BC17,BC19,BC27,BC28,BC30,BC32,BC37,BC38,BC42,BC43,BC44,BC45,BC48,BC52,BC55,BC56,BC57,BC59,BC62,BC64,BC65,BC67,BC70,BC72,BC73,BC74,BC76,BC77,BC78,BC79,mean
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella,2.66105187707195,0.608414239482201,0.337349397590361,1.89004621645858,2.29441881044182,1.69915700737619,1.03482587064677,1.98924475324799,2.24893917963225,1.33078027764481,1.9434069760081,1.3459516298633,2.40844931398677,1.70150869359313,2.96753560670856,6.66380972787658,2.04879461376964,1.80870024424054,4.98130795746953,2.54225352112676,1.36675520141656,3.7209960384833,1.02604019247099,0.844520073107708,2.78836323078353,5.29812904353908,3.04739522130826,0.604628535686983,3.86366680058926,1.05308403180744,0.973930872876391,2.35617851921919,0.450382825401591,1.70056400615279,1.64070917817612,1.85242358752701,0.471932439145554,2.09636880302507
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio,1.25436788818206,0.381877022653722,0.226506024096386,0.627716079188798,0.379242778585424,0.302950474183351,0.771144278606965,1.20401656117641,0.813295615275813,0,0.822941064759132,1.08657553452506,0.789655512782549,0.86935931263108,0.550370012271764,1.12849082208414,0.275103163686382,0.851541355865074,0.262174103024712,0.47887323943662,0.896414342629482,1.08941709111488,0.771299179167846,0.491586311211949,0.102239985128729,0.113656233607274,1.08891500195848,0.145944818958927,1.33252979777689,0.852496597177448,0.314879906268307,0.137587066815719,0.0825701846569584,0.752008203725859,2.87001665197375,1.95121951219512,0.29806259314456,0.71262281947372
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium,0.421109219603978,0.0841423948220065,0.197590361445783,0.607022142512244,0.72688199228873,1.14594309799789,0.417910447761194,0.223671060771903,0.466760961810467,0.502632838678794,0.981198961828195,0.46267087276551,0.996940084887968,0.466815506393343,0.35699676471682,0.907078065852439,0.23166582205169,0.561093141461483,0.975870272369763,0.732394366197183,0.691677733510403,0.622524052065648,0.375035380696292,0.233188378395412,0.901570777953341,0.57702395523693,0.407363885624755,0.0833970394051011,0.435248426409535,0.272225804140698,0.439367311072056,0.576145842290825,0.0975829455036781,0.581097248333618,0.768929376040748,0.586600802716888,0.0993541977148535,0.519316798198059
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,0.188155183227309,0.155339805825243,0.091566265060241,0.793267572601228,0.720561279312306,1.04056902002107,0.218905472636816,0.31409127682863,0.297029702970297,0.287218764959311,0.29752484648984,0.378548895899054,0.750172737143421,0.578445301400446,0.383027778810755,0.414256124562531,0.166509809599653,0.343256980658789,0.87876875273098,0.690140845070423,0.199203187250996,0.219298245614035,0.318426266628927,0.170164492342598,0.241658146667906,0.305997552019584,0.493537015276146,0.097296545972618,0.495513593143163,0.257898130238556,0.622437024018746,0.610542608994754,0,0.820372585882755,0.93544911352728,0.598950293300401,0.180079483358172,0.420383262163378
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0.215034495116925,0,0,0.855349382630889,0.695278427406611,1.33034773445732,0.0845771144278607,0.195117308332937,0.155586987270156,0.229775011967449,0.132936633538014,0.539782684893095,1.09564702398579,0.12854340031121,0.11528020527314,0.192843368330834,0.0868746832693839,0.283847118621691,1.57304461814827,0.732394366197183,0.0830013280212483,0.304187889077533,0.332578545145768,0.245793155605975,0.102239985128729,0.139884595208953,0.438699569134352,0,0.234364537297442,0.0716383695107099,0.270943175161101,0.584745033966807,0,1.17074004443685,1.23420511313547,1.34609447360296,0,0.410848010232775
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group,0.313591972045516,0.317152103559871,0.134939759036145,0.365592881285783,0.246507806080526,0.849578503688093,0.328358208955224,0.437824204064151,0.254596888260255,0.287218764959311,0.683674115338355,0.238345601121626,0.513276083308657,0.307827616534741,0.409058792904689,0.185701021355617,1.13661043944111,0.191431777675094,0.252463951060834,0.647887323943662,0.265604249667995,0.254668930390492,0.452872912538919,0.201676435369005,0.669207175388047,0.778108060849799,0.172346259302781,0.257140871499062,0.28123744475693,0.365355684504621,0.278265963678969,0.679336142402614,0.0975829455036781,0.487096222867886,0.631795474581252,0.39518369867243,0.254595131644312,0.395235443736163
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium,0.14335633007795,0.207119741100324,0.0626506024096386,0.269021176795199,0.366601352632577,0.935194942044257,0.263681592039801,0.323609194308285,0.134370579915134,0.234561991383437,0.227891371779452,0.175254118471784,0.503405389398875,0.274000405926527,0.316090885426351,0.292836225983858,0.34025917613842,0.0990164367284969,0.349565470699616,0.387323943661972,0.210270030987162,0.155631013016412,0.389187659213133,0.144954937921472,0.232363602565294,0.236055254415108,0.313356835095966,0.111196052540135,0.29462970403107,0.379683358406763,0.285588752196837,0.352566858715281,0.180153130160637,0.470005127328662,0.563228523851504,0.419882679839457,0.14903129657228,0.291718803885922
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group,0,0.207119741100324,0,0.469062564668552,0.372922065609001,0.375395152792413,0.18407960199005,0.285537524389664,0.155586987270156,0.0574437529918621,0.240552003544977,0.168243953732913,0.335603592932583,0.148839726676138,0.24171655944368,0.228555103206914,0.333019619199305,0.0924153409465971,0,0.330985915492958,0.210270030987162,0.0707413695529145,0.608547976224172,0.308817041658789,0.241658146667906,0.349711488022382,0,0.250191118215303,0.348198741127628,0.308044988896053,0.263620386643234,0.318170092011351,0.112595706350398,0.880191420270039,0.47017337643256,0.265514047545539,0.0993541977148535,0.252239982008334
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter,0.161275871337694,0.317152103559871,0,0.634614058080982,0.429808482396814,0.421496311907271,0.18407960199005,0.20939418455242,0.190947666195191,0.12924844423169,0.215230740013927,0.238345601121626,0.611983022406475,0.250321358500778,0.200810680153211,0.214270409256482,0.419894302468689,0.125420819856096,0.271884254988591,0.23943661971831,0.193669765382913,0.233446519524618,0.523634305123125,0.138652549316191,0.26024723487313,0.227312467214548,0.266353309831571,0.125095559107652,0.321414222579349,0.128949065119278,0.197715289982425,0.292372516983404,0,0.333276363014869,0.156724458810853,0.209941339919728,0.136612021857924,0.248946797875074
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia,0,0,0,0,0,0.11854583772392,0.0597014925373134,0,0,0,0,0,0,0,3.5811237960656,0.578530104992501,0.0941142402084992,0,0,0.225352112676056,0.35967242142541,0,0,0,0,0,0,0,0,3.4816247582205,0,0,0,0,0.0489763933783916,0,0,0.231017328573735
