taxonomy	mean	cor_pearson	p_pearson	taxon_l	tag	cor_spearman	p_spearman
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri	8.13819047333539	0.996501607466571	0.0000000000041026015519618	Species	miniCon	0.633976453846203	0.0268409444196137
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus jensenii	0.834474509632061	0.915585923830836	0.0000292565405545864	Species	miniCon	0.937155733891234	0.00000694286177556402
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia;Finegoldia magna	0.691109243818583	0.892068969283321	0.0000959873585058088	Species	miniCon	0.900522289820981	0.0000647858664204433
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	0.380326787876384	0.915121102318226	0.0000300468990331807	Genus	isoCon	0.930047610798718	0.0000117204667092744
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	67.1440281527764	0.803937134219958	0.00162470682783721	Genus	isoCon	0.867132867132867	0.000443302209472017
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.00856058220026747	-0.00237144726218147	0.994164060263248	Genus	isoCon	0.245467110492038	0.441894638593307
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0.0468733304830458	0.992722475557062	0.000000000158815894405776	Genus	isoCon	0.788751953028479	0.00229539431760976
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus	0.548186813802882	0.187525752665953	0.559475643855159	Genus	isoCon	0.885759629332112	0.000126128440182035
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia	0.691109243818583	0.945753368686157	0.00000337628264503771	Genus	isoCon	0.900522289820981	0.0000647858664204433
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus	2.91790519317555	0.671420224073666	0.0168109505948832	Genus	isoCon	0.642175731265781	0.0243478842441366
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister	3.27185432456653	0.159904143099002	0.619596765631378	Genus	isoCon	0.673874083336966	0.0162681524369559
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium	0.00919276999503058	0.129728777821945	0.687801824120038	Genus	isoCon	0.168126352401203	0.601453777132892
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	0.00224310871534104	0.523654879640467	0.080578437982341	Genus	isoCon	0.462620489776696	0.129929253646202
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus	36.7725774681502	0.96460146795734	0.000000412458630281505	Species	isoCon	0.797202797202797	0.00316125210939329
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri	8.13819047333539	0.996900949446203	0.00000000000223949127011978	Species	isoCon	0.633976453846203	0.0268409444196137
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	0.0324133647190408	0.99549032826854	0.0000000000145783440565931	Species	isoCon	0.728080412476383	0.00725763452769295
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia;Finegoldia magna	0.691109243818583	0.945753368686157	0.00000337628264503771	Species	isoCon	0.900522289820981	0.0000647858664204433
