taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus harei,0.00986155888488527,1.65305446719276,0.206351957364761,1.50039234786373,NA,NA,NA,NA,0.534528966775415,0.59934088754458,NA,0.0210655034398426,0.646370812723711
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;Peptococcus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472755180353031,NA,NA,0.472755180353031
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus hydrogenalis,NA,NA,0.187395740808943,1.48956895851936,NA,NA,NA,NA,NA,0.00252810256873279,NA,0.0688482307546074,0.437085258162911
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis,0.226057272899678,0.408503945698361,NA,NA,NA,NA,NA,NA,0.0273355558328728,0.180217597399666,NA,NA,0.210528592957644
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia sanguinegens,NA,0.0131063407096739,NA,NA,NA,NA,NA,NA,0.387748916977163,NA,NA,NA,0.200427628843418
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus obesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169924608369825,NA,NA,0.169924608369825
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bergensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120265450769717,NA,NA,0.120265450769717
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus tetradius,0.236677413237246,0.0555984769052481,NA,NA,NA,NA,NA,NA,0.0632877542652381,NA,NA,NA,0.118521214802578
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis,0.0144130476009862,NA,NA,NA,NA,NA,NA,NA,0.00623963774446009,0.00505620513746558,NA,0.363251486145578,0.0972400941571225
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium deltae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0895670624351045,NA,NA,0.0895670624351045
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii,NA,NA,NA,NA,NA,NA,0.087983275391545,NA,NA,NA,NA,NA,0.087983275391545
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus anaerobius,NA,NA,0.0806993219090535,NA,NA,NA,NA,NA,NA,0.0677170330910568,NA,NA,0.0742081775000552
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;Prevotella 7 melaninogenica,NA,0.0721538546437834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0721538546437834
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helveticus,NA,NA,0.0812409280963626,NA,0.0731914545138142,0.0702035904121954,NA,0.0842792155625761,NA,NA,0.0394198624912329,NA,0.0696670102152362
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii,NA,0.0208321836543237,NA,NA,NA,NA,NA,NA,0.00534826092382294,0.127308022211187,NA,NA,0.0511628222631112
