#OTU ID	NXT031_YAN_001	NXT031_YAN_002	NXT031_YAN_003	NXT031_YAN_004	NXT031_YAN_005	NXT031_YAN_006	NXT031_YAN_007	NXT031_YAN_008	NXT031_YAN_009	NXT031_YAN_010	NXT031_YAN_011	NXT031_YAN_012	NXT031_YAN_013	NXT031_YAN_014	NXT031_YAN_015	NXT031_YAN_016	NXT031_YAN_017	NXT031_YAN_018	NXT031_YAN_019	NXT031_YAN_020	NXT031_YAN_021	NXT031_YAN_022	NXT031_YAN_023	NXT031_YAN_025	NXT031_YAN_026	NXT031_YAN_027	NXT031_YAN_028	NXT031_YAN_029	NXT031_YAN_030	NXT031_YAN_031	NXT031_YAN_032	NXT031_YAN_033	NXT031_YAN_034	NXT031_YAN_035	NXT031_YAN_036	NXT031_YAN_037	NXT031_YAN_038	NXT031_YAN_039	NXT031_YAN_040	NXT031_YAN_041	NXT031_YAN_042	NXT031_YAN_043	NXT031_YAN_044	NXT031_YAN_045	NXT031_YAN_046	NXT031_YAN_047	NXT031_YAN_049	NXT031_YAN_050	NXT031_YAN_051	NXT031_YAN_052	NXT031_YAN_053	NXT031_YAN_054	NXT031_YAN_055	NXT031_YAN_056	NXT031_YAN_057	NXT031_YAN_058	NXT031_YAN_059	NXT031_YAN_061	NXT031_YAN_062	NXT031_YAN_063	NXT031_YAN_064	NXT031_YAN_065	NXT031_YAN_066	NXT031_YAN_067	NXT031_YAN_068	NXT031_YAN_069	NXT031_YAN_070	NXT031_YAN_071	NXT031_YAN_072	NXT031_YAN_073	NXT031_YAN_074	NXT031_YAN_075	NXT031_YAN_076	NXT031_YAN_077	NXT031_YAN_078	NXT031_YAN_079	NXT031_YAN_080	NXT031_YAN_081	NXT031_YAN_082	NXT031_YAN_083	NXT031_YAN_084	NXT031_YAN_085	NXT031_YAN_086	NXT031_YAN_087	NXT031_YAN_088	NXT031_YAN_089	NXT031_YAN_090	NXT031_YAN_091	NXT031_YAN_092	NXT031_YAN_093	NXT031_YAN_094	NXT031_YAN_095
zOTU_14782	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	41	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6
zOTU_14783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	6	0	2	0	0	0	1	16	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	4	1	47	0	0	0	1	0	0	0	0	0	0	0	14
zOTU_14787	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	2	14	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	16	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	5	0	0	1	1	0	0
zOTU_14789	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	4	13	2	0	0	1	0	1	7	0	6	1	1	0	0	0	1	1	0	0	0	1	4	1	2	2	0	1	2	0	2	0	0	1	1	0	0	1	0	2	0	4	0	1	0	1	0	0	0	7	1	2	1	1	0	0	1	1	0	0	0	1	0	3	2	2	7	1	3	3	9
zOTU_1479	0	2	0	0	0	0	5	0	0	0	10	0	0	0	2	1	0	1	3	0	7	1	7	11	0	0	0	32	0	0	0	0	1	1	0	0	4	1	2	0	0	0	0	0	10	0	2	55	0	0	0	0	0	0	0	0	0	0	0	1	0	8	1	0	0	4	0	1	0	24	0	7	0	0	7	0	0	0	0	0	0	597	0	2	0	0	18	0	0	0	0	0
zOTU_14791	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	19	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
zOTU_14795	1	3	1	0	0	0	0	0	0	1	0	0	3	0	0	1	2	0	0	1	2	0	0	0	64	1	1	0	0	1	1	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	3	0	0	3	1	7	0	3	0	1	0	0	0	0	7	0	0	3	0	0	4	0	0	3	0	1	8	0	1	0	0	1	0	0	0	0	5	1	1	2	7	5	4	1	0	0
zOTU_14796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_14804	3	2	0	0	1	0	0	1	2	0	2	0	6	1	3	1	1	2	1	0	0	2	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	2	1	1	0	3	1	1	0	20	0	0	3	3	0	1	2	0	0	0	0	0	0	0	6	0	0	4	0	0	1	0	6	0	1	1	0	4	0	3	0	0	2	0	0	0	3	0	1	0	1	5
zOTU_1481	1	6	4	0	0	1	1	1	0	0	64	0	1	27	33	44	0	0	0	5	11	3	17	4	0	2	1	21	11	16	5	21	4	33	0	0	5	5	3	0	10	2	4	0	6	28	10	44	1	29	5	0	10	0	0	22	10	25	4	5	0	6	16	0	21	5	0	6	0	10	0	7	2	14	52	1	0	11	2	2	0	4	9	11	1	4	3	2	2	3	1	4
