#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	134	107	125	134	116	108	137	114	91	131	184	120	0
OTU_2	268	233	274	291	238	298	285	289	280	277	217	228	0
OTU_3	99	106	108	102	84	115	71	93	83	136	99	55	0
OTU_4	205	191	259	214	302	236	297	288	225	267	204	224	0
OTU_5	213	278	267	270	237	352	273	284	268	359	193	160	0
OTU_6	46	100	1	6	2	4	3	4	1	0	3	0	0
OTU_7	34	48	23	21	23	33	27	18	21	22	54	8	0
OTU_8	193	183	211	235	225	186	197	213	252	195	258	161	0
OTU_9	134	122	135	169	145	139	143	157	179	135	158	145	0
OTU_10	106	106	125	118	116	113	141	113	136	104	161	116	1
OTU_11	41	63	8	8	0	2	3	2	0	1	0	1	0
OTU_12	127	135	114	177	140	153	121	160	163	167	167	131	0
OTU_13	24	50	4	2	1	1	1	0	3	3	4	2	0
OTU_14	131	167	113	160	111	109	98	119	105	94	112	99	0
OTU_15	168	156	194	167	198	201	151	194	146	183	134	106	0
OTU_16	15	21	21	13	17	4	18	7	8	15	4	3	0
OTU_17	200	147	175	195	165	179	176	157	162	166	220	128	0
OTU_18	44	68	38	45	32	41	48	39	45	45	41	32	0
OTU_19	178	172	175	161	165	206	226	170	124	225	96	108	0
OTU_20	540	418	641	553	611	534	700	668	560	516	569	570	0
OTU_21	171	163	176	179	173	221	182	162	183	150	136	170	0
OTU_22	92	106	90	94	87	90	89	54	117	65	198	42	0
OTU_23	422	353	453	445	474	438	486	493	409	461	456	437	1
OTU_24	478	487	504	559	494	428	536	571	521	511	499	555	1
OTU_25	731	632	938	803	870	808	959	878	942	748	679	973	2
OTU_26	37	75	5	5	0	1	2	2	1	0	2	0	0
OTU_27	67	39	54	46	58	59	50	45	28	48	57	50	0
OTU_28	311	244	331	298	369	259	372	329	412	284	440	347	1
OTU_29	198	167	250	215	217	235	242	211	261	164	212	258	0
OTU_30	13	14	10	14	11	19	19	13	21	18	34	15	0
