#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_159	32	98	1	11	0	2	0	1	0	2	0	0	0
OTU_160	61	131	1	12	2	3	1	3	0	1	1	0	0
OTU_161	39	99	2	2	0	6	2	3	0	1	2	2	0
OTU_162	76	172	5	12	2	5	1	2	3	4	3	0	0
OTU_163	33	58	4	0	1	3	0	2	1	0	0	0	0
OTU_164	838	644	951	979	962	819	453	959	808	913	523	489	1
OTU_165	101	144	3	14	2	7	0	0	2	4	1	0	0
OTU_166	7	8	4	1	4	4	2	5	3	0	0	2	0
OTU_167	11	15	5	6	4	6	1	4	9	10	4	4	0
OTU_168	36	54	5	7	1	2	2	3	2	4	1	1	0
OTU_169	31	58	6	6	2	3	1	1	2	0	1	0	0
OTU_170	18	68	5	4	0	1	1	2	0	1	1	0	0
OTU_171	51	45	61	61	66	67	34	65	67	64	29	43	0
OTU_172	48	79	7	7	2	9	1	5	2	3	5	3	0
OTU_173	1054	851	1254	1202	1282	1113	601	1186	1207	1252	602	691	0
OTU_174	36	97	8	6	1	3	2	0	1	0	0	0	0
OTU_175	0	0	0	0	0	0	0	0	0	0	0	59	0
OTU_176	277	235	246	321	285	325	98	274	297	377	133	111	0
OTU_177	38	84	2	17	0	2	1	3	0	1	2	1	0
OTU_178	35	62	2	4	1	1	0	3	0	0	2	0	0
OTU_179	254	220	298	261	262	220	119	228	336	246	177	159	0
OTU_180	205	179	191	226	194	226	81	173	201	214	132	96	0
OTU_181	79	163	6	23	5	11	3	6	5	8	3	3	0
OTU_182	73	81	89	101	108	118	37	93	91	106	47	47	0
OTU_183	19	28	1	2	0	4	1	2	0	0	0	0	0
OTU_184	2165	2040	2651	2898	2690	2428	1107	3026	2079	2466	1405	1607	0
OTU_185	195	150	217	216	245	234	94	229	216	238	91	95	0
